sku_id,pharmacy_type,name_cn,fixed_stockouts,fixed_avg_inventory,engine_stockouts,engine_avg_inventory,demand_total
SKU_0032,hospital,左氧氟沙星片,1,238.3,0,368.1,3497
SKU_0032,independent,左氧氟沙星片,4,36.6,2,39.3,557
SKU_0033,chain,二甲双胍片,0,285.6,0,293.8,2635
SKU_0033,hospital,二甲双胍片,0,234.6,0,274.0,3564
SKU_0033,independent,二甲双胍片,3,169.4,0,263.4,1105
SKU_0034,chain,格列美脲片,0,112.1,0,173.3,1279
SKU_0034,hospital,格列美脲片,2,118.1,0,187.9,1706
SKU_0034,independent,格列美脲片,1,40.4,0,100.7,511
SKU_0035,chain,阿卡波糖片,2,88.9,0,156.4,1210
SKU_0035,hospital,阿卡波糖片,2,93.4,1,187.1,1894
SKU_0035,independent,阿卡波糖片,1,43.1,0,60.7,653
SKU_0036,chain,格列齐特缓释片,0,76.2,0,107.3,1007
SKU_0036,hospital,格列齐特缓释片,1,100.6,0,140.4,1379
SKU_0036,independent,格列齐特缓释片,4,62.1,0,96.1,540
SKU_0037,chain,门冬胰岛素注射液,1,199.6,0,332.6,2795
SKU_0037,hospital,门冬胰岛素注射液,0,324.1,0,552.1,3974
SKU_0037,independent,门冬胰岛素注射液,1,162.1,0,253.4,1148
SKU_0038,chain,达格列净片,6,11.1,1,43.0,323
SKU_0038,hospital,达格列净片,1,57.4,0,74.3,242
SKU_0038,independent,达格列净片,1,40.6,0,69.1,186
SKU_0039,chain,西格列汀片,6,10.0,1,39.1,245
SKU_0039,hospital,西格列汀片,3,72.8,0,92.1,260
SKU_0039,independent,西格列汀片,2,14.3,1,40.9,211
SKU_0040,chain,利拉鲁肽注射液,0,30.9,0,49.2,155
SKU_0040,hospital,利拉鲁肽注射液,3,23.5,0,55.8,248
SKU_0040,independent,利拉鲁肽注射液,1,20.0,0,37.8,104
SKU_0041,chain,度拉糖肽注射液,4,11.0,0,30.7,171
SKU_0041,hospital,度拉糖肽注射液,0,27.2,0,48.1,95
SKU_0041,independent,度拉糖肽注射液,1,10.2,0,25.3,40
SKU_0042,chain,沙格列汀片,1,20.6,0,40.8,159
SKU_0042,hospital,沙格列汀片,3,27.7,0,53.1,300
SKU_0042,independent,沙格列汀片,4,9.4,0,26.9,110
SKU_0043,chain,瑞格列奈片,3,24.3,0,44.5,170
SKU_0043,hospital,瑞格列奈片,3,26.1,0,46.1,233
SKU_0043,independent,瑞格列奈片,1,20.6,0,38.6,92
SKU_0044,chain,吡格列酮片,5,18.6,0,37.7,186
SKU_0044,hospital,吡格列酮片,1,37.7,0,60.2,57
SKU_0044,independent,吡格列酮片,8,4.9,2,24.4,194
SKU_0045,chain,米格列醇片,1,13.9,0,27.8,108
SKU_0045,hospital,米格列醇片,0,21.7,0,32.2,223
SKU_0045,independent,米格列醇片,6,2.2,0,23.4,87
SKU_0046,chain,恩格列净片,4,45.9,0,201.6,888
SKU_0046,hospital,恩格列净片,1,167.4,0,210.1,1762
SKU_0046,independent,恩格列净片,1,24.4,0,78.4,203
SKU_0047,chain,卡格列净片,0,91.3,0,131.6,1169
SKU_0047,hospital,卡格列净片,3,14.5,0,109.6,177
SKU_0047,independent,卡格列净片,1,68.2,0,145.1,481
SKU_0048,chain,氨茶碱片,2,47.7,0,64.1,721
SKU_0048,hospital,氨茶碱片,0,88.9,0,112.7,969
SKU_0048,independent,氨茶碱片,4,28.4,0,110.4,422
SKU_0049,chain,茶碱缓释片,0,33.5,0,68.4,575
SKU_0049,hospital,茶碱缓释片,1,37.2,0,73.6,798
SKU_0049,independent,茶碱缓释片,3,41.2,0,68.3,328
SKU_0050,chain,沙丁胺醇吸入气雾剂,1,91.3,1,256.3,1758
SKU_0050,hospital,沙丁胺醇吸入气雾剂,1,168.9,0,277.7,2015
SKU_0050,independent,沙丁胺醇吸入气雾剂,4,95.4,0,202.1,883
SKU_0051,chain,布地奈德吸入粉雾剂,2,81.5,1,152.9,1469
SKU_0051,hospital,布地奈德吸入粉雾剂,2,116.1,0,198.9,1628
SKU_0051,independent,布地奈德吸入粉雾剂,4,88.3,0,126.3,767
SKU_0052,chain,孟鲁司特钠片,0,74.9,0,170.9,1152
SKU_0052,hospital,孟鲁司特钠片,1,118.6,0,175.5,1377
SKU_0052,independent,孟鲁司特钠片,3,44.2,0,119.8,594
SKU_0053,chain,特布他林片,2,40.3,1,99.1,793
SKU_0053,hospital,特布他林片,1,91.4,0,112.4,876
SKU_0053,independent,特布他林片,0,41.0,0,83.1,343
SKU_0054,chain,噻托溴铵粉吸入剂,0,55.1,0,47.8,86
SKU_0054,hospital,噻托溴铵粉吸入剂,1,32.0,0,57.8,219
SKU_0054,independent,噻托溴铵粉吸入剂,2,15.4,1,51.4,93
SKU_0055,chain,乙酰半胱氨酸泡腾片,1,38.2,0,58.3,94
SKU_0055,hospital,乙酰半胱氨酸泡腾片,2,27.5,1,73.2,97
SKU_0055,independent,乙酰半胱氨酸泡腾片,3,26.4,0,51.5,171
SKU_0056,chain,羧甲司坦口服液,0,56.0,0,55.6,283
SKU_0056,hospital,羧甲司坦口服液,3,33.9,0,61.5,239
SKU_0056,independent,羧甲司坦口服液,4,13.5,0,42.4,119
SKU_0057,chain,异丙托溴铵气雾剂,0,29.7,0,48.6,28
SKU_0057,hospital,异丙托溴铵气雾剂,6,26.6,0,56.6,266
SKU_0057,independent,异丙托溴铵气雾剂,3,5.9,0,33.9,74
SKU_0058,chain,福莫特罗吸入粉雾剂,7,3.7,1,30.5,127
SKU_0058,hospital,福莫特罗吸入粉雾剂,2,19.7,0,46.6,211
SKU_0058,independent,福莫特罗吸入粉雾剂,4,14.2,0,22.1,70
SKU_0059,chain,沙美特罗替卡松吸入剂,2,13.7,0,41.2,159
SKU_0059,hospital,沙美特罗替卡松吸入剂,3,17.0,1,43.4,195
SKU_0059,independent,沙美特罗替卡松吸入剂,7,4.2,0,26.9,120
SKU_0060,chain,氮卓斯汀鼻喷剂,1,31.8,1,52.9,239
SKU_0060,hospital,氮卓斯汀鼻喷剂,2,25.9,0,50.6,205
SKU_0060,independent,氮卓斯汀鼻喷剂,4,14.9,0,35.4,140
SKU_0061,chain,糠酸莫米松鼻喷雾剂,1,27.1,0,47.6,77
SKU_0061,hospital,糠酸莫米松鼻喷雾剂,3,10.7,0,58.9,196
SKU_0061,independent,糠酸莫米松鼻喷雾剂,2,58.5,0,68.9,165
SKU_0062,chain,吸入用异丙托溴铵溶液,0,56.6,1,57.9,437
SKU_0062,hospital,吸入用异丙托溴铵溶液,0,35.1,0,93.1,712
SKU_0062,independent,吸入用异丙托溴铵溶液,2,13.4,1,79.4,146
SKU_0063,chain,丙戊酸钠片,0,47.2,0,76.4,781
SKU_0063,hospital,丙戊酸钠片,2,55.2,1,156.3,1182
SKU_0063,independent,丙戊酸钠片,4,69.0,2,79.4,381
SKU_0064,chain,卡马西平片,2,60.1,0,95.5,655
SKU_0064,hospital,卡马西平片,0,51.1,0,82.8,1037
SKU_0064,independent,卡马西平片,4,22.0,0,70.6,294
SKU_0065,chain,左乙拉西坦片,0,54.2,0,92.7,786
SKU_0065,hospital,左乙拉西坦片,1,68.4,0,120.4,1153
SKU_0065,independent,左乙拉西坦片,3,71.6,2,82.5,431
SKU_0066,chain,帕罗西汀片,2,46.3,0,100.4,558
SKU_0066,hospital,帕罗西汀片,0,34.7,0,101.2,775
SKU_0066,independent,帕罗西汀片,1,16.7,0,42.6,247
SKU_0067,chain,拉莫三嗪片,5,6.9,0,39.4,101
SKU_0067,hospital,拉莫三嗪片,5,20.4,0,47.9,229
SKU_0067,independent,拉莫三嗪片,1,9.4,0,29.4,121
SKU_0068,chain,加巴喷丁胶囊,3,23.1,0,37.1,157
SKU_0068,hospital,加巴喷丁胶囊,7,13.8,0,46.0,317
SKU_0068,independent,加巴喷丁胶囊,3,12.0,0,31.8,127
SKU_0069,chain,普瑞巴林胶囊,3,26.6,0,51.0,238
SKU_0069,hospital,普瑞巴林胶囊,6,24.0,0,58.1,390
SKU_0069,independent,普瑞巴林胶囊,3,47.2,0,58.2,151
SKU_0070,chain,托吡酯片,1,24.9,0,34.2,215
SKU_0070,hospital,托吡酯片,4,10.3,1,41.7,135
SKU_0070,independent,托吡酯片,4,12.4,0,33.2,149
SKU_0071,chain,唑尼沙胺片,3,7.2,0,20.5,124
SKU_0071,hospital,唑尼沙胺片,1,9.1,0,29.9,97
SKU_0071,independent,唑尼沙胺片,5,3.1,1,9.9,54
SKU_0072,chain,拉考沙胺片,3,5.7,0,25.3,125
SKU_0072,hospital,拉考沙胺片,4,11.6,0,38.9,156
SKU_0072,independent,拉考沙胺片,6,2.6,1,17.0,86
SKU_0073,chain,艾司西酞普兰片,5,12.4,1,34.4,246
SKU_0073,hospital,艾司西酞普兰片,4,12.6,0,52.9,147
SKU_0073,independent,艾司西酞普兰片,4,5.2,1,31.0,128
SKU_0074,chain,文拉法辛缓释片,0,41.4,0,44.2,135
SKU_0074,hospital,文拉法辛缓释片,5,8.6,2,42.3,201
SKU_0074,independent,文拉法辛缓释片,4,14.1,0,33.8,165
SKU_0075,chain,度洛西汀肠溶片,3,17.6,0,47.4,111
SKU_0075,hospital,度洛西汀肠溶片,5,35.3,0,57.2,312
SKU_0075,independent,度洛西汀肠溶片,3,12.4,0,31.5,175
SKU_0076,chain,米氮平片,2,16.2,0,28.6,103
SKU_0076,hospital,米氮平片,6,0.0,1,37.6,168
SKU_0076,independent,米氮平片,8,2.9,1,18.6,136
SKU_0077,chain,舍曲林片,1,51.4,1,86.8,542
SKU_0077,hospital,舍曲林片,1,55.8,0,96.5,1046
SKU_0077,independent,舍曲林片,2,18.8,6,17.0,275
