sku_id,name_cn,name_en,atc1,atc2,atc3,atc4,therapeutic_area,demand_type,ili_elasticity,vbp_status,price_rmb,expiry_months,is_generic,is_demo_sku,base_demand_hospital,base_demand_chain,base_demand_independent,cv_hospital,cv_chain,cv_independent,vbp_shock_hospital,vbp_shock_chain,vbp_shock_independent
SKU_0019,阿奇霉素片,Azithromycin,J,J01,J01FA,J01FA10,Antiinfectives,smooth,0.0,na,22.0,36,1,0,180,130,65,0.18,0.28,0.42,0.0,0.0,0.0
SKU_0020,奥司他韦胶囊,Oseltamivir,J,J05,J05AH,J05AH02,Antiinfectives,seasonal,8.0,na,55.0,36,1,1,60,100,40,0.4,0.5,0.7,0.0,0.0,0.0
SKU_0021,扎那米韦吸入粉雾剂,Zanamivir,J,J05,J05AH,J05AH01,Antiinfectives,seasonal,6.0,na,120.0,24,1,0,15,25,10,0.5,0.6,0.8,0.0,0.0,0.0
SKU_0022,玛巴洛沙韦片,Baloxavir,J,J05,J05AX,J05AX29,Antiinfectives,seasonal,7.0,na,220.0,24,1,0,20,35,15,0.45,0.55,0.75,0.0,0.0,0.0
SKU_0023,帕拉米韦氯化钠注射液,Peramivir,J,J05,J05AX,J05AX27,Antiinfectives,seasonal,5.0,na,350.0,24,1,0,25,15,5,0.6,0.8,1.1,0.0,0.0,0.0
SKU_0024,利奈唑胺片,Linezolid,J,J01,J01XX,J01XX08,Antiinfectives,intermittent,0.0,na,180.0,36,1,0,18,12,5,0.75,0.95,1.4,0.0,0.0,0.0
SKU_0025,伏立康唑片,Voriconazole,J,J02,J02AC,J02AC03,Antiinfectives,intermittent,0.0,na,150.0,24,1,0,12,8,3,0.85,1.05,1.5,0.0,0.0,0.0
SKU_0026,卡泊芬净注射液,Caspofungin,J,J02,J02AX,J02AX04,Antiinfectives,intermittent,0.0,na,680.0,24,1,0,6,4,2,1.0,1.2,1.7,0.0,0.0,0.0
SKU_0027,两性霉素B脂质体,Amphotericin B,J,J02,J02AA,J02AA01,Antiinfectives,intermittent,0.0,na,850.0,18,1,0,4,3,1,1.2,1.5,2.0,0.0,0.0,0.0
SKU_0028,替加环素注射液,Tigecycline,J,J01,J01AA,J01AA12,Antiinfectives,intermittent,0.0,na,420.0,24,1,0,8,5,2,1.1,1.3,1.8,0.0,0.0,0.0
SKU_0029,多黏菌素B注射液,Polymyxin B,J,J01,J01XB,J01XB02,Antiinfectives,intermittent,0.0,na,520.0,18,1,0,5,3,1,1.3,1.6,2.1,0.0,0.0,0.0
SKU_0030,磷霉素氨丁三醇散,Fosfomycin,J,J01,J01XX,J01XX01,Antiinfectives,intermittent,0.0,na,45.0,36,1,0,22,15,7,0.7,0.9,1.3,0.0,0.0,0.0
SKU_0031,头孢呋辛酯片,Cefuroxime,J,J01,J01DC,J01DC02,Antiinfectives,shocked,0.0,selected,18.0,36,1,0,140,100,50,0.2,0.3,0.45,0.5,-0.15,-0.1
SKU_0032,左氧氟沙星片,Levofloxacin,J,J01,J01MA,J01MA12,Antiinfectives,shocked,0.0,selected,25.0,36,1,0,160,110,55,0.18,0.28,0.42,0.55,-0.18,-0.12
SKU_0033,二甲双胍片,Metformin,A,A10,A10BA,A10BA02,Metabolism,smooth,0.0,selected,8.0,48,1,1,250,180,90,0.12,0.2,0.35,0.5,-0.15,-0.1
SKU_0034,格列美脲片,Glimepiride,A,A10,A10BB,A10BB12,Metabolism,smooth,0.0,na,35.0,36,1,0,120,85,42,0.15,0.25,0.38,0.0,0.0,0.0
SKU_0035,阿卡波糖片,Acarbose,A,A10,A10BF,A10BF01,Metabolism,smooth,0.0,selected,28.0,36,1,0,140,100,50,0.14,0.24,0.36,0.45,-0.12,-0.08
SKU_0036,格列齐特缓释片,Gliclazide,A,A10,A10BB,A10BB09,Metabolism,smooth,0.0,na,32.0,36,1,0,100,70,35,0.16,0.26,0.4,0.0,0.0,0.0
SKU_0037,门冬胰岛素注射液,Insulin Aspart,A,A10,A10AB,A10AB05,Metabolism,seasonal,0.3,na,85.0,24,1,0,300,200,100,0.25,0.35,0.5,0.0,0.0,0.0
SKU_0038,达格列净片,Dapagliflozin,A,A10,A10BK,A10BK01,Metabolism,intermittent,0.0,na,68.0,36,1,0,80,55,28,0.3,0.42,0.6,0.0,0.0,0.0
SKU_0039,西格列汀片,Sitagliptin,A,A10,A10BH,A10BH01,Metabolism,intermittent,0.0,na,55.0,36,1,0,60,42,21,0.35,0.48,0.68,0.0,0.0,0.0
SKU_0040,利拉鲁肽注射液,Liraglutide,A,A10,A10BJ,A10BJ02,Metabolism,intermittent,0.0,na,320.0,24,1,0,40,28,14,0.4,0.55,0.78,0.0,0.0,0.0
SKU_0041,度拉糖肽注射液,Dulaglutide,A,A10,A10BJ,A10BJ05,Metabolism,intermittent,0.0,na,280.0,24,1,0,25,18,9,0.5,0.65,0.9,0.0,0.0,0.0
SKU_0042,沙格列汀片,Saxagliptin,A,A10,A10BH,A10BH03,Metabolism,intermittent,0.0,na,48.0,36,1,0,35,25,12,0.45,0.6,0.82,0.0,0.0,0.0
SKU_0043,瑞格列奈片,Repaglinide,A,A10,A10BX,A10BX02,Metabolism,intermittent,0.0,na,42.0,36,1,0,45,32,16,0.38,0.52,0.72,0.0,0.0,0.0
SKU_0044,吡格列酮片,Pioglitazone,A,A10,A10BG,A10BG03,Metabolism,intermittent,0.0,na,38.0,36,1,0,55,38,19,0.32,0.45,0.65,0.0,0.0,0.0
SKU_0045,米格列醇片,Miglitol,A,A10,A10BF,A10BF02,Metabolism,intermittent,0.0,na,52.0,36,1,0,20,14,7,0.55,0.72,1.0,0.0,0.0,0.0
SKU_0046,恩格列净片,Empagliflozin,A,A10,A10BK,A10BK03,Metabolism,shocked,0.0,selected,75.0,36,1,0,90,65,32,0.28,0.4,0.58,0.48,-0.14,-0.1
SKU_0047,卡格列净片,Canagliflozin,A,A10,A10BK,A10BK02,Metabolism,shocked,0.0,non_selected,82.0,36,0,0,70,50,25,0.3,0.42,0.6,-0.85,0.6,0.4
SKU_0048,氨茶碱片,Aminophylline,R,R03,R03DA,R03DA05,Respiratory,smooth,0.0,na,15.0,36,1,0,80,55,28,0.22,0.32,0.48,0.0,0.0,0.0
SKU_0049,茶碱缓释片,Theophylline,R,R03,R03DA,R03DA04,Respiratory,smooth,0.0,na,18.0,36,1,0,60,42,21,0.24,0.35,0.5,0.0,0.0,0.0
SKU_0050,沙丁胺醇吸入气雾剂,Salbutamol,R,R03,R03AC,R03AC02,Respiratory,seasonal,2.5,na,25.0,24,1,0,150,120,60,0.3,0.4,0.58,0.0,0.0,0.0
SKU_0051,布地奈德吸入粉雾剂,Budesonide,R,R03,R03BA,R03BA02,Respiratory,seasonal,3.0,na,68.0,24,1,0,120,100,50,0.28,0.38,0.55,0.0,0.0,0.0
SKU_0052,孟鲁司特钠片,Montelukast,R,R03,R03DC,R03DC03,Respiratory,seasonal,2.0,na,35.0,36,1,0,100,80,40,0.32,0.42,0.6,0.0,0.0,0.0
SKU_0053,特布他林片,Terbutaline,R,R03,R03AC,R03AC03,Respiratory,seasonal,2.2,na,22.0,36,1,0,70,55,28,0.35,0.45,0.65,0.0,0.0,0.0
SKU_0054,噻托溴铵粉吸入剂,Tiotropium,R,R03,R03BB,R03BB04,Respiratory,intermittent,0.0,na,120.0,24,1,0,45,35,18,0.4,0.55,0.78,0.0,0.0,0.0
SKU_0055,乙酰半胱氨酸泡腾片,Acetylcysteine,R,R05,R05CB,R05CB03,Respiratory,intermittent,0.0,na,28.0,36,1,0,55,42,21,0.38,0.52,0.72,0.0,0.0,0.0
SKU_0056,羧甲司坦口服液,Carbocysteine,R,R05,R05CB,R05CB06,Respiratory,intermittent,0.0,na,22.0,36,1,0,65,50,25,0.35,0.48,0.68,0.0,0.0,0.0
SKU_0057,异丙托溴铵气雾剂,Ipratropium,R,R03,R03BB,R03BB01,Respiratory,intermittent,0.0,na,32.0,24,1,0,35,28,14,0.48,0.62,0.88,0.0,0.0,0.0
SKU_0058,福莫特罗吸入粉雾剂,Formoterol,R,R03,R03AC,R03AC13,Respiratory,intermittent,0.0,na,85.0,24,1,0,25,20,10,0.55,0.7,0.95,0.0,0.0,0.0
SKU_0059,沙美特罗替卡松吸入剂,Salmeterol/Fluticasone,R,R03,R03AK,R03AK06,Respiratory,intermittent,0.0,na,150.0,24,1,0,30,25,12,0.5,0.65,0.9,0.0,0.0,0.0
SKU_0060,氮卓斯汀鼻喷剂,Azelastine,R,R01,R01AC,R01AC03,Respiratory,intermittent,0.0,na,55.0,24,1,0,40,32,16,0.42,0.55,0.78,0.0,0.0,0.0
SKU_0061,糠酸莫米松鼻喷雾剂,Mometasone,R,R01,R01AD,R01AD09,Respiratory,intermittent,0.0,na,65.0,24,1,0,50,40,20,0.38,0.5,0.72,0.0,0.0,0.0
SKU_0062,吸入用异丙托溴铵溶液,Ipratropium sol,R,R03,R03BB,R03BB01,Respiratory,shocked,0.0,selected,28.0,24,1,0,40,30,15,0.45,0.58,0.82,0.45,-0.12,-0.08
SKU_0063,丙戊酸钠片,Valproate,N,N03,N03AG,N03AG01,Nervous,smooth,0.0,na,25.0,36,1,0,90,65,32,0.18,0.28,0.42,0.0,0.0,0.0
SKU_0064,卡马西平片,Carbamazepine,N,N03,N03AF,N03AF01,Nervous,smooth,0.0,na,18.0,36,1,0,70,50,25,0.2,0.3,0.45,0.0,0.0,0.0
SKU_0065,左乙拉西坦片,Levetiracetam,N,N03,N03AX,N03AX14,Nervous,smooth,0.0,na,45.0,36,1,0,85,60,30,0.16,0.26,0.4,0.0,0.0,0.0
SKU_0066,帕罗西汀片,Paroxetine,N,N06,N06AB,N06AB05,Nervous,seasonal,0.4,na,38.0,36,1,0,55,40,20,0.3,0.42,0.6,0.0,0.0,0.0
SKU_0067,拉莫三嗪片,Lamotrigine,N,N03,N03AX,N03AX09,Nervous,intermittent,0.0,na,55.0,36,1,0,35,25,12,0.45,0.6,0.85,0.0,0.0,0.0
SKU_0068,加巴喷丁胶囊,Gabapentin,N,N03,N03AX,N03AX12,Nervous,intermittent,0.0,na,32.0,36,1,0,40,28,14,0.42,0.55,0.78,0.0,0.0,0.0
SKU_0069,普瑞巴林胶囊,Pregabalin,N,N03,N03AX,N03AX16,Nervous,intermittent,0.0,na,48.0,36,1,0,50,35,18,0.38,0.52,0.72,0.0,0.0,0.0
SKU_0070,托吡酯片,Topiramate,N,N03,N03AX,N03AX11,Nervous,intermittent,0.0,na,42.0,36,1,0,30,22,11,0.48,0.62,0.88,0.0,0.0,0.0
SKU_0071,唑尼沙胺片,Zonisamide,N,N03,N03AX,N03AX15,Nervous,intermittent,0.0,na,65.0,36,1,0,15,10,5,0.65,0.82,1.15,0.0,0.0,0.0
SKU_0072,拉考沙胺片,Lacosamide,N,N03,N03AX,N03AX18,Nervous,intermittent,0.0,na,85.0,36,1,0,20,14,7,0.55,0.72,1.0,0.0,0.0,0.0
SKU_0073,艾司西酞普兰片,Escitalopram,N,N06,N06AB,N06AB10,Nervous,intermittent,0.0,na,52.0,36,1,0,45,32,16,0.4,0.55,0.75,0.0,0.0,0.0
SKU_0074,文拉法辛缓释片,Venlafaxine,N,N06,N06AX,N06AX16,Nervous,intermittent,0.0,na,58.0,36,1,0,38,28,14,0.42,0.58,0.8,0.0,0.0,0.0
SKU_0075,度洛西汀肠溶片,Duloxetine,N,N06,N06AX,N06AX21,Nervous,intermittent,0.0,na,62.0,36,1,0,42,30,15,0.38,0.52,0.72,0.0,0.0,0.0
SKU_0076,米氮平片,Mirtazapine,N,N06,N06AX,N06AX11,Nervous,intermittent,0.0,na,35.0,36,1,0,28,20,10,0.5,0.68,0.92,0.0,0.0,0.0
SKU_0077,舍曲林片,Sertraline,N,N06,N06AB,N06AB06,Nervous,shocked,0.0,selected,42.0,36,1,0,60,45,22,0.25,0.38,0.55,0.42,-0.12,-0.08
